path	binary
roland.ext.sd.dt.multi.timbre.part5.scaleTune7	41DE0048121000243a
roland.ext.sd.dt.multi.timbre.part5.scaleTune8	41DE0048121000243b
roland.ext.sd.dt.multi.timbre.part5.scaleTune9	41DE0048121000243c
roland.ext.sd.dt.multi.timbre.part5.scaleTune10	41DE0048121000243d
roland.ext.sd.dt.multi.timbre.part5.scaleTune11	41DE0048121000243e
roland.ext.sd.dt.multi.timbre.part5.sdGm2Set	41DE0048121000243f
roland.ext.sd.dt.multi.timbre.part6	41DE004812100025
roland.ext.sd.dt.multi.timbre.part6.rxCh	41DE00481210002500
roland.ext.sd.dt.multi.timbre.part6.rxSwitch	41DE00481210002501
roland.ext.sd.dt.multi.timbre.part6.unknown02	41DE00481210002502
roland.ext.sd.dt.multi.timbre.part6.rxPort	41DE00481210002503
roland.ext.sd.dt.multi.timbre.part6.bankMsb	41DE00481210002504
roland.ext.sd.dt.multi.timbre.part6.bankLsb	41DE00481210002505
roland.ext.sd.dt.multi.timbre.part6.program	41DE00481210002506
roland.ext.sd.dt.multi.timbre.part6.volume	41DE00481210002507
